# time 'GFP' 'RNA' 'RNAP_pspark'
 0.000000E+00 0 0 0
 5.000000E+00 0 2 0
 1.000000E+01 0 2 0
 1.500000E+01 0 3 0
 2.000000E+01 0 4 0
 2.500000E+01 0 4 0
 3.000000E+01 0 4 0
 3.500000E+01 0 4 0
 4.000000E+01 0 5 0
 4.500000E+01 0 5 0
 5.000000E+01 0 5 0
 5.500000E+01 0 6 0
 6.000000E+01 0 7 0
 6.500000E+01 0 7 0
 7.000000E+01 1 7 0
 7.500000E+01 3 7 0
 8.000000E+01 4 7 1
 8.500000E+01 7 8 0
 9.000000E+01 8 8 0
 9.500000E+01 9 8 0
 1.000000E+02 9 8 0
 1.050000E+02 8 9 0
 1.100000E+02 6 9 0
 1.150000E+02 10 9 0
 1.200000E+02 12 9 0
 1.250000E+02 13 9 0
 1.300000E+02 15 9 0
 1.350000E+02 17 9 0
 1.400000E+02 17 9 0
 1.450000E+02 17 9 1
 1.500000E+02 16 10 0
 1.550000E+02 17 10 0
 1.600000E+02 18 10 0
 1.650000E+02 19 10 1
 1.700000E+02 20 11 0
 1.750000E+02 22 11 0
 1.800000E+02 25 12 0
 1.850000E+02 26 12 0
 1.900000E+02 27 12 1
 1.950000E+02 27 13 0
 2.000000E+02 31 15 0
 2.050000E+02 32 15 0
 2.100000E+02 33 15 0
 2.150000E+02 35 15 0
 2.200000E+02 36 17 0
 2.250000E+02 38 18 0
 2.300000E+02 38 18 0
 2.350000E+02 43 18 1
 2.400000E+02 40 19 0
 2.450000E+02 42 19 0
 2.500000E+02 41 21 0
 2.550000E+02 41 21 0
 2.600000E+02 41 22 0
 2.650000E+02 43 22 0
 2.700000E+02 41 22 0
 2.750000E+02 42 22 0
 2.800000E+02 42 22 1
 2.850000E+02 43 24 0
 2.900000E+02 45 25 0
 2.950000E+02 45 25 0
 3.000000E+02 45 26 0
 3.050000E+02 46 28 0
 3.100000E+02 43 29 0
 3.150000E+02 43 28 0
 3.200000E+02 43 28 0
 3.250000E+02 43 28 0
 3.300000E+02 42 27 0
 3.350000E+02 40 27 0
 3.400000E+02 37 27 0
 3.450000E+02 37 27 0
 3.500000E+02 35 27 0
 3.550000E+02 36 28 0
 3.600000E+02 36 29 0
 3.650000E+02 32 29 0
 3.700000E+02 30 29 0
 3.750000E+02 28 29 0
 3.800000E+02 27 29 1
 3.850000E+02 29 30 0
 3.900000E+02 32 31 1
 3.950000E+02 33 32 0
 4.000000E+02 35 32 0
 4.050000E+02 35 32 0
 4.100000E+02 34 32 0
 4.150000E+02 32 33 0
 4.200000E+02 30 34 0
 4.250000E+02 27 34 0
 4.300000E+02 26 35 0
 4.350000E+02 27 36 0
 4.400000E+02 28 36 0
 4.450000E+02 29 36 0
 4.500000E+02 30 37 0
 4.550000E+02 28 37 1
 4.600000E+02 29 39 0
 4.650000E+02 28 41 0
 4.700000E+02 29 42 1
 4.750000E+02 29 43 0
 4.800000E+02 29 44 0
 4.850000E+02 31 45 0
 4.900000E+02 32 46 0
 4.950000E+02 34 48 0
 5.000000E+02 36 48 0
