# time 'GFP' 'RNA' 'RNAP_pspark' 'GFP_Protease' 'Full_chain' 'tr1' 'RNAP' 'Rib' 'Protease' 'RNAPDeg' 'RNAP_dna' 'RNAP_rna' 'RNAP_dna_rna' 'RNAP_any' 'RNAP_psparktss' 'RNAP_RBS1' 'RNA_RBS1' 'RNAP_spaK' 'RNAP_RBS2' 'RNAP_spaR' 'RNAP_Ter1' 'RNAP_SpaRBS' 'RNAP_pSpaS' 'RNAP_pSpaStss' 'RNAP_RBS3' 'RNAP_gfp' 'RNAP_Ter2'
 0.000000E+00 0 0 0 0 0 0 1250 10000 1000 100 0 0 0 1250 0 0 0 0 0 0 0 0 0 0 0 0 0
 1.000000E+01 0 3 0 0 0 0 1248 10000 1000 100 0 2 0 1250 0 0 1 0 0 0 0 0 0 0 0 0 0
 2.000000E+01 1 3 0 1 0 0 1248 9999 999 100 0 2 0 1250 0 0 1 0 0 0 0 0 0 0 0 0 1
 3.000000E+01 1 4 0 1 0 0 1247 9997 998 100 0 2 1 1250 0 0 2 0 1 0 0 0 0 0 1 0 1
 4.000000E+01 2 4 0 2 0 0 1248 9998 990 99 0 2 0 1250 0 0 2 0 0 0 1 0 0 0 1 0 0
 5.000000E+01 2 6 1 2 0 1 1245 9999 988 99 1 4 0 1250 0 1 2 0 0 0 0 0 0 0 0 0 0
 6.000000E+01 3 7 0 3 0 1 1245 9998 977 99 0 5 0 1250 0 0 2 0 0 0 1 0 0 0 1 0 0
 7.000000E+01 3 10 0 3 0 2 1242 9997 973 97 0 8 0 1250 0 0 2 0 2 0 0 0 0 1 0 0 0
 8.000000E+01 6 10 0 5 0 2 1242 9999 958 97 0 8 0 1250 0 0 2 0 1 0 0 0 0 0 0 0 0
 9.000000E+01 5 10 0 5 0 2 1242 10000 951 97 0 8 0 1250 0 0 2 0 0 0 0 0 0 0 0 0 0
 1.000000E+02 5 14 0 5 0 3 1239 9998 951 97 0 10 1 1250 0 0 4 1 0 0 0 1 0 0 0 0 0
 1.100000E+02 6 16 0 6 0 3 1239 9998 947 97 0 11 0 1250 0 1 4 0 0 0 0 0 0 0 1 0 0
 1.200000E+02 6 17 0 6 0 3 1239 9997 944 97 0 11 0 1250 0 1 4 0 0 0 0 0 0 0 2 0 0
 1.300000E+02 6 17 0 6 0 3 1239 9993 944 97 0 11 0 1250 0 1 4 0 3 0 0 0 0 1 2 0 0
 1.400000E+02 8 18 0 6 0 4 1238 9995 942 97 0 12 0 1250 0 1 4 0 1 0 0 1 0 0 2 0 0
 1.500000E+02 7 19 0 7 0 4 1238 9996 936 96 0 12 0 1250 0 0 4 0 1 0 1 0 0 0 1 1 0
 1.600000E+02 7 21 1 7 0 4 1237 9996 931 95 1 12 0 1250 0 0 4 0 0 0 1 0 1 1 1 0 0
 1.700000E+02 7 24 0 7 0 4 1236 9995 927 95 0 14 0 1250 0 0 4 0 1 0 0 0 1 1 2 0 0
 1.800000E+02 7 24 0 7 0 5 1236 9994 924 95 0 14 0 1250 0 0 4 1 1 0 0 0 1 1 2 0 0
 1.900000E+02 7 24 0 7 0 5 1236 9993 917 95 0 14 0 1250 0 0 4 0 0 0 1 0 2 2 2 0 0
 2.000000E+02 7 26 0 7 0 5 1234 9989 917 94 0 16 0 1250 0 1 4 0 1 0 1 2 2 2 2 0 0
 2.100000E+02 7 27 0 7 0 6 1233 9989 911 94 0 17 0 1250 0 0 4 0 2 1 0 2 2 2 2 0 0
 2.200000E+02 7 29 0 7 0 7 1233 9989 903 94 0 17 0 1250 0 0 5 0 2 0 1 2 2 2 2 0 0
 2.300000E+02 7 33 0 7 0 8 1230 9990 903 93 0 20 0 1250 0 0 6 0 2 0 0 2 2 2 2 0 0
 2.400000E+02 7 35 0 7 0 8 1228 9988 901 93 0 22 0 1250 0 1 6 0 3 0 0 2 2 2 2 0 0
 2.500000E+02 7 36 0 7 0 9 1227 9991 896 93 0 23 0 1250 0 0 6 0 1 0 0 2 2 2 2 0 0
 2.600000E+02 7 36 0 7 0 9 1228 9989 895 93 0 22 0 1250 0 0 6 0 2 0 1 2 2 2 2 0 0
 2.700000E+02 7 37 0 7 0 9 1229 9989 893 93 0 20 1 1250 0 0 7 0 2 1 0 2 2 2 2 0 0
 2.800000E+02 8 39 1 7 0 9 1228 9989 893 93 1 21 0 1250 0 1 7 0 2 0 0 2 2 2 2 0 0
 2.900000E+02 7 40 0 7 0 10 1232 9990 891 93 0 18 0 1250 0 1 7 0 1 0 0 2 2 2 2 0 0
 3.000000E+02 7 41 1 7 0 10 1230 9989 891 93 1 19 0 1250 0 0 7 0 3 0 0 2 2 2 2 0 0
 3.100000E+02 7 44 0 7 0 11 1229 9988 884 93 0 21 0 1250 0 0 8 0 2 0 1 2 2 2 3 0 0
 3.200000E+02 7 45 0 7 0 11 1228 9989 884 93 0 21 1 1250 0 1 9 0 2 0 0 2 2 2 2 0 0
 3.300000E+02 7 46 0 7 0 11 1230 9987 879 92 0 20 0 1250 0 2 9 0 2 0 0 3 2 2 2 0 0
 3.400000E+02 7 47 0 7 0 11 1229 9987 875 91 0 21 0 1250 0 0 9 0 4 1 0 2 2 2 2 0 0
